Ferramenta,Data adicionado,Descrição,Free,Online,Status,link,Área
ClickTracks,13/04/2022   (BRT),exibe padrões de visitantes diretamente nas páginas de seu site.,,,Ativo,http://www.clicktracks.com/,Análise de mídia social
InetSoft Dashboardfree,13/04/2022   (BRT),"Style Scope Free Edition, um aplicativo baseado na web para download gratuito para painéis e visualizações interativos em Flash.",Free,,Ativo,http://www.dashboardfree.com/,Visualização
MATLAB Neural Net Toolbox,13/04/2022   (BRT),"um ambiente abrangente para pesquisa, projeto e simulação de rede neural dentro do MATLAB",,,Ativo,http://www.mathworks.com/products/neuralnet/,Classificação: Rede neural
SAS Enterprise Miner,13/04/2022   (BRT),"um conjunto integrado que fornece uma interface de usuário amigável para o processo SEMMA (Amostra, Explorar, Modificar, Modelar, Avaliar).",,,Ativo,http://www.sas.com/technologies/analytics/datamining/miner,Suites/Plataformas
Bayesian belief network software,13/04/2022   (BRT),"(Win95 / 98 / NT / 2000), de J. Cheng, incluindo BN PowerConstructor: Um sistema eficiente para aprender estruturas e parâmetros BN a partir de dados",,,Ativo,,Classificação: Bayesiano
Dinrhiw2 Machine Learning Library,13/04/2022   (BRT),"ferramentas de linha de comando para Linux AMD64, desenvolvidas com C ++.",Free,,Ativo,https://github.com/cslr/dinrhiw2/wiki,"Bibliotecas, componentes e kits de desenvolvedor"
ContourCube,13/04/2022   (BRT),faz análises OLAP e estatísticas de alto desempenho usando dados atuais de qualquer banco de dados relacional.,,,Ativo,http://www.contourcomponents.com/,"BI, banco de dados e OLAP"
ScrapingBee,13/04/2022   (BRT),oferece API de web scraping que lida com rotação de proxy + navegador sem cabeça (para processar páginas pesadas em Javascript).,,,Ativo,https://www.scrapingbee.com/,Mineração de conteúdo da web
NeuralWorks Predict Predict 3.0 and Professional II/PLUS,13/04/2022   (BRT),,,,Ativo,http://www.neuralware.com/,Classificação: Rede neural
Wordsmith,13/04/2022   (BRT),"do Automated Insights, plataforma de IA que gera narrativas com aparência humana a partir de dados.",,,Ativo,https://automatedinsights.com/products/,Ciência de Dados automatizada
ioModel Research Platform,13/04/2022   (BRT),"fornece uma IU e um fluxo de trabalho intuitivo além de uma série de bibliotecas de aprendizado de máquina de software livre comuns, incluindo Apple Turi Create, NumPy, ScyPi e scikit-Learn.",Free,,Ativo,https://github.com/twintechlabs/iomodel,Suites/Plataformas
Intellexer,13/04/2022   (BRT),"tecnologias de pesquisa de linguagem natural para o desenvolvimento de ferramentas de gerenciamento de conhecimento, software de comparação de documentos e software de resumo de documentos, mecanismos de pesquisa personalizados e outros softwares inteligentes.",,,Ativo,http://www.intellexer.com/,"Análise de texto, mineração de texto e recuperação de informações"
COMGEN,13/04/2022   (BRT),"Especialistas em conversão de disco, fita e dados e recuperação de dados, sistemas comerciais e gerais.",,,Ativo,http://www.comgen.co.uk/,"Transformação de dados, limpeza de dados"
Dataskope,13/04/2022   (BRT),"ferramentas de nível de departamento para mapear, transformar, emitir e visualizar grandes volumes de dados de entrada binários ou ASCII.",,,Ativo,http://www.lifecycle-software.com/,"Transformação de dados, limpeza de dados"
SuperQuery,13/04/2022   (BRT),ferramenta de business intelligence,,,Ativo,,Classificação: Baseado em regras
Wordle,13/04/2022   (BRT),"uma ferramenta para gerar ""nuvens de palavras"" a partir do texto que você fornece.",,online,Ativo,http://www.wordle.net/,"Análise de texto, mineração de texto e recuperação de informações"
Angoss Text Analytics,13/04/2022   (BRT),"parte do KnowledgeStudio, permite aos usuários mesclar a saída de análises não estruturadas baseadas em texto com dados estruturados para realizar mineração de dados e análises preditivas.",,,Ativo,http://www.angoss.com/predictive-analytics-software/products/text-analytics,"Análise de texto, mineração de texto e recuperação de informações"
Miningco,13/04/2022   (BRT),um programa de código aberto que encontra automaticamente padrões e relações em logs da web e outros conjuntos de dados.,,,Ativo,http://www.vanheusden.com/miningco/,Padrões sequenciais e séries temporais
RapidMiner Text Mining,13/04/2022   (BRT),,Free,,Ativo,http://rapid-i.com/content/view/73/148/,"Análise de texto, mineração de texto e recuperação de informações"
MLC++,13/04/2022   (BRT),"uma biblioteca de classes C ++ para aprendizado de máquina supervisionado, incluindo vários algoritmos de classificação.",Free,,Ativo,http://www.sgi.com/tech/mlc/,Classificação: Abordagens múltiplas
Subdue,13/04/2022   (BRT),Sistema de descoberta de conhecimento baseado em gráficos que encontra padrões estruturais e relacionais em dados que representam entidades e relacionamentos.,Free,,Ativo,http://ailab.wsu.edu/subdue/,"Análise de gráficos e redes sociais, links e visualização"
Gsharp,13/04/2022   (BRT),ambiente on-line e em lote para gráficos de negócios,,,Ativo,http://www.avs.com/software/soft_b/gsharp/gsharp.html,Visualização
Teradata Warehouse Miner and Teradata Analytics,13/04/2022   (BRT),fornecendo serviços analíticos para mineração local em um DBMS Teradata.,,,Ativo,http://www.teradata.com/,Suites/Plataformas
ConversionTrack from Antssoft,13/04/2022   (BRT),análise de log da web e relatórios sobre as taxas de conversão de visitantes.,,,Ativo,http://www.antssoft.com/conversiontrack/index.htm,Análise de mídia social
SVM-light,13/04/2022   (BRT),implementação popular de Support Vector Machines (SVMs) por Thorsten Joachims.,Free,,Ativo,http://svmlight.joachims.org/,Classificação: Máquina de vetor de suporte (SVM)
GainSmarts,13/04/2022   (BRT),"usa tecnologia de modelagem preditiva que pode analisar compras anteriores, dados demográficos e de estilo de vida, para prever a probabilidade de resposta e desenvolver uma compreensão das características do consumidor.",,,Ativo,http://urbanscience.com/,Suites/Plataformas
VantagePoint,13/04/2022   (BRT),fornece uma variedade de visualizações gráficas interativas e ferramentas de análise com recursos poderosos para descobrir conhecimento de bancos de dados de texto.,,,Ativo,http://www.thevantagepoint.com/,"Análise de texto, mineração de texto e recuperação de informações"
TextPipe Pro,13/04/2022   (BRT),"workbench de conversão, extração e manipulação de texto.",,,Ativo,http://www.datamystic.com/,"Análise de texto, mineração de texto e recuperação de informações"
PolyAnalyst COM,13/04/2022   (BRT),um SDK que oferece uma grande seleção de algoritmos de aprendizado de máquina como componentes COM separados para integração simples em aplicativos externos.,,,Ativo,http://www.megaputer.com/,"Bibliotecas, componentes e kits de desenvolvedor"
XLMiner,13/04/2022   (BRT),Suplemento de mineração de dados para Excel.,,,Ativo,http://www.xlminer.com/,Suites/Plataformas
GritBot,13/04/2022   (BRT),para identificar anomalias nos dados (compatível com See5 e Cubist).,,,Ativo,http://www.rulequest.com/gritbot-info.html,"Detecção de anomalia, desvio de fraude"
DataRPM,13/04/2022   (BRT),A plataforma Cognitive Data Science automatiza e operacionaliza o aprendizado de máquina para resolver problemas críticos de negócios para internet industrial rapidamente. Oferecendo resposta a perguntas em linguagem natural e modelagem automática de dados. ,,,Ativo,http://www.datarpm.com/,Ciência de Dados automatizada
WUM: Web Utilization Miner,13/04/2022   (BRT),"um ambiente integrado de mineração baseado em Java para preparação de arquivos de log, relatórios básicos, descoberta de padrões sequenciais e visualização.",Free,,Ativo,http://www.hypknowsys.org/,Análise de mídia social
Kwalitan 5 for Windows,13/04/2022   (BRT),"usa códigos para fragmentos de texto para facilitar a pesquisa textual, exibir visões gerais, construir árvores hierárquicas e muito mais.",,,Ativo,http://www.scienceplus.nl/,"Análise de texto, mineração de texto e recuperação de informações"
Synapse,13/04/2022   (BRT),"um ambiente de desenvolvimento para redes neurais e outros sistemas adaptativos, apoiando todo o ciclo de desenvolvimento, desde a importação e pré-processamento de dados, passando pela construção do modelo e treinamento até a avaliação e implantação",,,Ativo,,Classificação: Rede neural
Databionic ESOM Tools,13/04/2022   (BRT),"um conjunto de programas para agrupamento, visualização e classificação com Emergent Self-Organizing Maps (ESOM).",Free,,Ativo,http://databionic-esom.sourceforge.net/,Visualização
K.wiz,13/04/2022   (BRT),plataforma aberta de mineração de dados e descoberta de conhecimento Java fornecendo uma API completa e uma ampla gama de componentes de mineração de dados,Free,,Ativo,http://www.thinkanalytics.com/,"Bibliotecas, componentes e kits de desenvolvedor"
Quadbase,13/04/2022   (BRT),"fornece software e serviços para visualização de dados, painéis de BI, relatórios, programação R e análise preditiva",,,Ativo,http://www.quadbase.com/,"BI, banco de dados e OLAP"
Xpertrule Miner 4.0,13/04/2022   (BRT),"(Attar Software) apresenta transformação de dados, árvores de decisão, regras de associação e clustering em conjuntos de dados de grande escala.",,,Ativo,http://www.attar.com/,Suites/Plataformas
The LPA Data Mining Toolkit,13/04/2022   (BRT),fornece uma coleção incorporável de rotinas que suportam a descoberta de regras de associação no RDMS.,,,Ativo,http://www.lpa.co.uk/dtm.htm,"Bibliotecas, componentes e kits de desenvolvedor"
JMP,13/04/2022   (BRT),"oferece visualização significativa e recursos de mineração de dados, juntamente com análises estatísticas clássicas.",,,Ativo,http://www.jmp.com/,Análise Estatística
OpenViz,13/04/2022   (BRT),componentes de visualização (ActiveX e Java),,,Ativo,http://www.openviz.com/,Visualização
KnowledgeMiner (yX) for Excel,13/04/2022   (BRT),uma ferramenta de mineração de conhecimento que trabalha com dados armazenados no Microsoft Excel para a construção de modelos preditivos e descritivos. (Mac OS).,,,Ativo,http://www.knowledgeminer.com/aboutyx.htm,Suites/Plataformas
Basis Technology,13/04/2022   (BRT),fornece tecnologia de processamento de linguagem natural para a análise de texto multilíngue não estruturado.,,,Ativo,http://www.basistech.com/,"Análise de texto, mineração de texto e recuperação de informações"
Intellectus Statistics,13/04/2022   (BRT),"ferramenta de análise de dados estatísticos de ensino e aprendizagem para gerar narrativas interpretadas por dados, relatórios tabulares e gráficos em tempo real.",,,Ativo,http://www.intellectusstatistics.com/,Análise Estatística
CMSR Data Miner,13/04/2022   (BRT),"construído para dados de negócios com foco em banco de dados, incorporando mecanismo de regras, rede neural, agrupamento neural (SOM), árvore de decisão, detalhamento de ponto de acesso, análise de desvio de tabela cruzada, análise de venda cruzada, visualização / gráficos e muito mais. Gratuito para uso acadêmico.",Free,,Ativo,http://www.roselladb.com/starprobe.htm,Suites/Plataformas
Symynet Educational Statistics Software,13/04/2022   (BRT),"Material didático interativo para design de pesquisa, métodos quantitativos, probabilidade e estatística.",,,Ativo,http://symynet.com/educational_software/,Análise Estatística
Hypersoft OmniContext,13/04/2022   (BRT),"ajuda a avaliar a comunicação e colaboração, entender relacionamentos e identificar comunidades e membros em diferentes regiões, divisões e organizações internas e externas.",,,Ativo,http://hypersoft.com/operational_intelligence/Operational_intelligence.aspx,"Análise de gráficos e redes sociais, links e visualização"
Analyst's Notebook,13/04/2022   (BRT),"parte da i2 Intelligence-Led Operations Platform, oferece recursos avançados de análise e visualização assistida para apoiar os analistas na prevenção do crime e do terrorismo.",,,Ativo,http://www.i2group.com/us/,"Análise de gráficos e redes sociais, links e visualização"
Social network analysis software,13/04/2022   (BRT),entrada da wikipedia,,online,Ativo,http://en.wikipedia.org/wiki/Social_network_analysis_software,"Análise de gráficos e redes sociais, links e visualização"
IDL,13/04/2022   (BRT),"a Interactive Data Language, permite a análise de dados em profundidade por meio de visualização líder do setor",,,Ativo,http://www.rsinc.com/,Visualização
Random forests from Leo Breiman,13/04/2022   (BRT),uma combinação de preditores de árvore de forma que cada árvore dependa dos valores de um vetor aleatório amostrado independentemente e com a mesma distribuição para todas as árvores da floresta.,Free,,Ativo,http://www.stat.berkeley.edu/users/breiman,Classificação: Árvore de decisão
Citrus Technology Replay Professional,13/04/2022   (BRT),"com interface altamente visual para construir rapidamente uma árvore de decisão em qualquer conjunto de dados, de qualquer banco de dados. Explore, analise, defina e reutilize árvores de decisão em minutos.",,,Ativo,http://www.citrustechnology.com/product/replay-professional,Classificação: Árvore de decisão
DI-Diver,13/04/2022   (BRT),ferramenta multidimensional de desktop para explorar e analisar grandes bancos de dados. DI-Atlantis é uma versão para empresas / grupos de trabalho.,,,Ativo,http://www.dimins.com/,"BI, banco de dados e OLAP"
Octoparse,13/04/2022   (BRT),"uma ferramenta para extrair facilmente quaisquer dados não estruturados da web em dados estruturados e salvá-los em Excel, HTML, Texto ou diretamente em um banco de dados.",Free,,Ativo,http://www.octoparse.com/,Mineração de conteúdo da web
NETMAP,13/04/2022   (BRT),"combinação inovadora de análise de link e visualização de dados, com aplicativos para detecção de fraude e análise de sinistros.",,,Ativo,http://www.altaanalytics.com/,Visualização
WebGet.io,13/04/2022   (BRT),"um serviço de web scraping visual, fácil de usar com opções gratuitas e de baixo custo, capacidade de fazer login em sites seguros, clicar, fazer loop, monitorar alterações, raspar imagens e muito mais.",,,Ativo,https://webget.io/,Mineração de conteúdo da web
NuClass7,13/04/2022   (BRT),"freeware para rápido desenvolvimento, validação e aplicação de classificadores neurais e convencionais, incluindo perceptron multicamadas, rede de link funcional, rede linear por partes, classificador de vizinho mais próximo, mapa auto-organizado.",Free,,Ativo,http://www-ee.uta.edu/eeweb/IP/Software/Software.htm,Classificação: Rede neural
Angoss KnowledgeSEEKER,13/04/2022   (BRT),"fornece aos analistas de risco recursos poderosos de processamento de dados, análise e descoberta de conhecimento para melhor segmentar e compreender os comportamentos dos clientes.",,,Ativo,http://www.angoss.com/,Classificação: Árvore de decisão
Eaagle visual text mining software,13/04/2022   (BRT),"permite que você analise rapidamente grandes volumes de texto não estruturado, crie relatórios e comunique facilmente suas descobertas.",,,Ativo,http://www.eaagle.com/index.php?go=FTM,Visualização
NAVIGA,13/04/2022   (BRT),"Soluções de software de Business Intelligence (BI), incluindo dados demográficos de negócios e consumidores.",,,Ativo,http://www.navigaresearch.com/,"BI, banco de dados e OLAP"
MicroStrategy Analytics Express,13/04/2022   (BRT),Software-as-a-Service atende análises de negócios de classe mundial. Grátis por um ano.,,,Ativo,http://www.microstrategy.com/free/express,"BI, banco de dados e OLAP"
BioComp iManageData(tm),13/04/2022   (BRT),"Acessa, limpa, filtra, converte e transforma dados de arquivos, Excel, Oracle, SQL Server, sistemas de controle de processo e muito mais.",,,Ativo,http://www.biocompsystems.com/products/imanagedata/,"Transformação de dados, limpeza de dados"
11Ants Model Builder,13/04/2022   (BRT),"atualiza o Microsoft Excel em uma ferramenta de mineração de dados / análise preditiva poderosa e simples de usar, com regressão, classificação e probabilidade de classificação.",,,Ativo,http://www.11antsanalytics.com/?kd,"Estimativa, regressão e previsão"
Fair Isaac Model Builder,13/04/2022   (BRT),"plataforma de software para desenvolver e implantar modelos analíticos, inclui análise de dados, árvore de decisão e construção de modelo preditivo, otimização de decisão, gerenciamento de regras de negócios e implantação de plataforma aberta.",,,Ativo,http://www.fairisaac.com/,Suites/Plataformas
Dragon AudioMining,13/04/2022   (BRT),permite o uso de palavras-chave e frases de texto para pesquisar arquivos de áudio.,,,Ativo,http://www.nuance.com/,Mineração de áudio e video
Orbit Analytics,13/04/2022   (BRT),"uma plataforma de relatórios e análises de autoatendimento com acesso em tempo real a ERP e outros aplicativos de negócios, incluindo integrações embutidas para R e Python.",,,Ativo,https://orbitanalytics.com/,"BI, banco de dados e OLAP"
OpenNN,13/04/2022   (BRT),uma biblioteca C ++ abrangente para pesquisa e desenvolvimento de redes neurais.,Free,,Ativo,http://www.intelnics.com/opennn,Suites/Plataformas
ANGOSS KnowledgeWebMiner,13/04/2022   (BRT),"combina ANGOSS KnowledgeSTUDIO com algoritmos proprietários para análise de clickstream, Acxiom Data Network e interfaces para ferramentas de relatório de log da web.",,,Ativo,http://www.angoss.com/,Mineração de uso da web
Flint,13/04/2022   (BRT),"combina redes bayesianas, fatores de certeza e lógica fuzzy em um ambiente baseado em regras de programação lógica.",,,Ativo,http://www.lpa.co.uk/fln.htm,Classificação: Bayesiano
Recommind MindServer,13/04/2022   (BRT),usa PLSA (Probabilistic Latent Semantic Analysis) para recuperação precisa e categorização de textos.,,,Ativo,http://www.recommind.com/,"Análise de texto, mineração de texto e recuperação de informações"
arules,13/04/2022   (BRT),"um pacote de extensão R gratuito que fornece a infraestrutura para representar, manipular e analisar regras de associação de dados de transação.",Free,,Ativo,http://cran.at.r-project.org/web/packages/arules/index.html,Regras de associação
Appricon's Analysis Studio,13/04/2022   (BRT),"um software de modelagem e análise estatística com modelagem de regressão logística avançada, modelagem de regressão e muitos mais recursos (Windows).",,,Ativo,http://www.appricon.com/,Análise Estatística
R-PLUS Professional,13/04/2022   (BRT),"análise estatística, construção de modelo e produtos e serviços de código aberto para análises personalizadas.",,,Ativo,http://xlsolutions-corp.com/,Análise Estatística
tagtog,13/04/2022   (BRT),a ferramenta de anotação de texto para treinar IA.,Free,,Ativo,https://www.tagtog.net/,"Análise de texto, mineração de texto e recuperação de informações"
Decision Technology Business Intelligence Software,13/04/2022   (BRT),"software intuitivo de recuperação de informações que oferece inteligência de negócios por meio de relatórios, análise de dados e integração estreita.",,,Ativo,http://www.decision-technology.com/,"BI, banco de dados e OLAP"
Data Miner Software Kit,13/04/2022   (BRT),"coleção de ferramentas de mineração de dados, oferecida em combinação com um livro: Predictive Data Mining: A Practical Guide, Weiss and Indurkhya.",,,Ativo,http://www.data-miner.com/,Suites/Plataformas
e1071 R package,13/04/2022   (BRT),"incluindo máquinas de vetores de suporte, clustering e classificador Naive Bayes.",Free,,Ativo,http://cran.r-project.org/web/packages/e1071/index.html,Classificação: Máquina de vetor de suporte (SVM)
Synapse,13/04/2022   (BRT),"um ambiente de desenvolvimento para redes neurais e outros sistemas adaptativos, apoiando todo o ciclo de desenvolvimento, desde a importação e pré-processamento de dados, passando pela construção do modelo e treinamento até a avaliação e implantação",,,Ativo,,Suites/Plataformas
ML-Flex,13/04/2022   (BRT),um pacote de software de código aberto projetado para permitir o processamento flexível e eficiente de conjuntos de dados díspares para aprendizado de máquina (classificação).,Free,,Ativo,http://mlflex.sourceforge.net/,Suites/Plataformas
EidoSearch,13/04/2022   (BRT),"software para análise de séries temporais: destaque qualquer padrão de dados de seu interesse e o software EidoSearch encontra todos os padrões semelhantes do passado e do presente, analisa os resultados da pesquisa e mostra o que tende a acontecer a seguir.",,,Ativo,http://www.eidosearch.com/,Padrões sequenciais e séries temporais
DataScience.com,13/04/2022   (BRT),"fornece uma plataforma de ciência de dados corporativa que combina as ferramentas, bibliotecas e idiomas que os cientistas de dados amam com a infraestrutura e os fluxos de trabalho de que suas organizações precisam.",,,Ativo,http://www.datascience.com/,Suites/Plataformas
Kontagent kSuite DataMine,13/04/2022   (BRT),"uma plataforma SaaS User Analytics que oferece percepções comportamentais em tempo real para redes sociais, móveis e Web, oferecendo consultas semelhantes a SQL no topo das implantações Hadoop.",,online,Ativo,http://www.kontagent.com/,Suites/Plataformas
